Date,Time,CE_strikes,PE_strikes
2025-01-01,11:30,"23000,23500,23600,23700,23800,23850,23900,23950,24000,24050,24100,24200,24300,24350,24400,24500,24550,24600","22400,22500,22600,22700,22800,22900,23000,23200,23300,23500,23550,23700,23800,23950,24000,24100,24200,24400,24500"
2025-01-01,11:35,"23000,23400,23500,23600,23700,23800,23900,24000,24050,24100,24150,24200,24300,24350,24400,24500,24600","22400,22500,22600,22700,22800,22900,23000,23200,23300,23400,23500,23550,23600,23750,23850,23900,24000,24100,24200,24300,24500"
2025-01-01,11:40,"23000,23500,23600,23800,23900,24000,24200,24300,24350,24400,24500,24600","22500,22700,23000,23100,23300,23400,23500,23600,23650,23750,23800,23850,23900,23950,24000,24300,24500"
2025-01-01,11:45,"23000,23500,23600,23800,23850,23900,24000,24400,24500","22400,22500,22600,22700,22800,22900,23000,23300,23450,23500,23600,23700,23750,23800,23900,24000,24100"
2025-01-01,11:50,"23500,23600,23650,23700,23800,24000,24100,24150,24200,24300,24350,24500,24600","22400,22500,22600,22700,22800,22900,23000,23050,23300,23450,23500,23550,23600,23700,23750,23800,23900,24000,24100"
2025-01-01,11:55,"23500,23600,23650,23700,23800,23900,24000,24050,24100,24200,24350,24500","22400,22500,22600,22700,22800,22900,23000,23200,23300,23500,23600,23700,23750,23800,23900,24000,24200,24300,24500"
2025-01-01,12:00,"22500,23000,23400,23500,23750,23800,24000,24050,24100,24300,24400,24500","22500,22800,22900,23000,23100,23200,23300,23400,23450,23500,23550,23600,23650,23700,23750,23800,23850,23900,23950,24000,24100,24200,24250,24300,24500"
2025-01-01,12:05,"23000,23500,23600,23700,23750,24000,24100,24200,24300,24500,24550,24650","22500,22600,22900,23000,23100,23300,23500,23600,23700,23900,24000,24100,24500"
2025-01-01,12:10,"23700,24000,24100,24200,24400,24500,24600","22500,22700,22900,23000,23100,23500,23600,23700,23900,24000,24500"
2025-01-01,12:15,"23500,23600,23700,23800,23900,24000,24200,24400,24500,24600","22500,22600,22700,22900,23000,23050,23100,23200,23300,23500,23700,24000,24200,24300,24500"
2025-01-01,12:20,"23000,23500,23600,23700,23750,23800,23850,23900,23950,24000,24100,24200,24300,24500,24600","22400,22500,22600,22700,22800,22900,23000,23050,23300,23400,23500,23600,23700,23750,23800,23900,23950,24000,24100,24300,24400,24500"
2025-01-01,12:25,"23000,23500,23750,23800,23950,24000,24050,24100,24200,24400,24500,24600","22500,22600,22700,22800,22900,23000,23200,23300,23500,23800,24000,24100,24200,24300,24400,24500"
2025-01-01,12:30,"23000,23600,23700,23800,23950,24000,24100,24400,24500,24600","22500,22800,23000,23100,23500,23700,23800,23900,24000,24100,24500"
2025-01-01,12:35,"23000,23500,23600,23750,23800,24000,24300,24400,24500,24600","22500,22600,22700,22800,23000,23100,23200,23300,23400,23500,23600,23700,23750,23800,24000,24200,24500"
2025-01-01,12:40,"23500,23650,23800,23900,23950,24000,24200,24300,24400,24500","22500,22600,22700,23000,23100,23200,23300,23400,23450,23500,23600,23700,23750,23800,23900,24000,24200,24500"
2025-01-01,12:45,"22500,23700,23800,23900,24000,24300,24500","22500,22600,22800,22900,23000,23100,23400,23500,23700,23750,23800,23900,24000,24100,24500"
2025-01-01,12:50,"23000,23500,23600,23650,23750,23800,24000,24100,24300,24350,24400,24500","22400,22500,22600,22700,22800,22900,23000,23100,23200,23400,23500,23700,23750,23800,24000,24200,24500"
2025-01-01,12:55,"23000,23500,23700,23800,23900,24000,24100,24200,24300,24350,24500","22400,22500,22600,22700,22800,22900,23000,23300,23500,23700,23800,23850,23900,24000,24200,24500"
2025-01-01,13:00,"23500,23600,23700,23750,23800,23900,24000,24100,24350,24500,24600","22500,22600,22800,23000,23100,23300,23400,23500,23600,23700,23800,23950,24000,24100,24200,24500"
2025-01-01,13:05,"23000,23500,23600,23700,23750,24000,24300,24500,24600","22500,22800,22900,23000,23100,23200,23400,23500,23600,23700,24000,24100,24500"
2025-01-01,13:10,"23400,23500,23600,23700,23950,24000,24150,24200,24500","22400,22500,22600,22700,22800,23000,23100,23200,23300,23400,23500,23700,23750,23900,24000,24200"
2025-01-01,13:15,"23000,23750,23800,23900,23950,24000,24200,24300,24400,24500","22400,22500,22600,22700,22800,22900,23000,23300,23400,23500,23700,23750,23800,23900,23950,24000,24200"
2025-01-01,13:20,"23000,23500,23600,23700,23750,23800,23850,23900,24000,24150,24200,24250,24300,24350,24400,24450,24500","22500,22700,22800,23000,23100,23400,23500,23550,23600,23700,23750,23800,23900,24000,24200,24450"
2025-01-01,13:25,"23500,23900,24000,24100,24150,24200,24250,24300,24500,24600","22500,22600,22700,22800,23000,23500,23550,23600,23700,23750,23800,23900,23950,24000,24500"
2025-01-01,13:30,"23500,23600,23950,24000,24300,24500,24600","22500,22600,22700,22800,23000,23200,23400,23500,23550,23700,24000,24200"
2025-01-01,13:35,"23700,23950,24000,24050,24150,24200,24250,24300,24500,24600","22400,22500,22600,22700,22900,23000,23400,23500,23700,23800,23950,24000,24100,24200"
2025-01-01,13:40,"23500,23700,23900,24000,24200,24500,24600","22400,22500,22700,22900,23000,23100,23500,23600,23750,23800,24000,24100,24200,24500"
2025-01-01,13:45,"22500,23700,23750,23800,23900,24000,24100,24300,24400,24500,24600","22500,22600,23000,23200,23300,23400,23500,23600,23700,23750,23800,24000,24100,24200,24500"
2025-01-01,13:50,"23000,23500,23600,23650,23700,23750,23800,23850,23900,23950,24000,24050,24100,24150,24200,24250,24300,24350,24400,24450,24500,24600","22500,22550,22600,22800,22900,23000,23100,23200,23300,23400,23500,23600,23650,23700,23750,23800,23900,23950,24000,24050,24100,24200,24300,24450,24500"
2025-01-01,13:55,"23500,23600,23700,23750,23800,23900,23950,24000,24100,24200,24300,24350,24500","22500,22700,22800,22900,23000,23200,23300,23400,23500,23600,23700,23750,23800,23850,23900,24000,24200,24250,24500,24550"
2025-01-01,14:00,"22500,23000,23300,23400,23500,23600,23700,23800,23850,23900,23950,24000,24050,24100,24150,24200,24250,24300,24350,24400,24450,24500,24600","22500,22550,22600,22700,22800,23000,23100,23200,23300,23400,23500,23550,23600,23650,23700,23750,23800,24000,24200,24500,24550,24600"
2025-01-01,14:05,"22500,23550,23600,23700,23750,23800,23850,23900,23950,24000,24100,24150,24200,24250,24300,24350,24400,24450,24500,24600","22400,22500,22600,22700,22800,23000,23100,23200,23300,23400,23500,23550,23600,23700,23750,23800,23850,23900,23950,24000,24050,24100,24400,24450,24500,24600"
